job,site,start,finish,due_date
JOB-18,SITE-8,2,55,232
JOB-15,SITE-5,3,24,210
JOB-5,SITE-4,4,46,212
JOB-6,SITE-2,5,31,213
JOB-20,SITE-5,25,104,198
JOB-7,SITE-2,32,130,205
JOB-3,SITE-4,47,91,209
JOB-9,SITE-8,56,114,220
JOB-1,SITE-4,92,165,200
JOB-19,SITE-5,105,186,212
JOB-13,SITE-8,115,162,221
JOB-12,SITE-2,132,223,245
JOB-10,SITE-8,163,207,211
JOB-17,SITE-4,166,211,240
JOB-14,SITE-5,187,219,225
JOB-11,SITE-8,208,219,249
JOB-4,SITE-4,212,300,204
JOB-8,SITE-5,220,230,243
JOB-16,SITE-8,220,302,235
JOB-2,SITE-5,231,325,222
