site_idx,start_at
2,4.0
2,15.0
5,14.0
2,602.0
2,242.0
8,151.0
5,167.0
1,929.0
5,510.0
1,448.0
1,135.0
8,281.0
1,200.0
8,32.0
5,849.0
5,357.0
8,491.0
1,50.0
8,917.0
2,760.0
8,1010.0
5,236.0
8,216.0
5,72.0
1,522.0
2,502.0
8,447.0
1,525.0
8,590.0
2,41.0
8,736.0
5,480.0
8,616.0
8,88.0
1,573.0
5,421.0
5,766.0
8,404.0
5,690.0
1,622.0
2,324.0
1,697.0
5,638.0
8,140.0
1,51.0
2,672.0
8,48.0
8,424.0
5,114.0
8,826.0
2,126.0
2,289.0
2,418.0
1,262.0
2,351.0
1,310.0
1,844.0
5,565.0
1,769.0
8,347.0
5,306.0
8,568.0
1,5.0
8,653.0
1,259.0
1,419.0
1,344.0
2,201.0
8,612.0
5,933.0
,14523.6
