site_idx,start_at
12,6.0
80,7.0
8,153.0
7,46.0
52,25.0
7,109.0
59,1.0
11,78.0
86,59.0
38,137.0
28,194.0
31,90.0
10,36.0
67,9.0
58,1.0
42,53.0
60,16.0
78,153.0
17,4.0
67,22.0
26,43.0
26,170.0
27,112.0
34,25.0
63,86.0
12,53.0
82,28.0
47,75.0
88,33.0
61,8.0
58,22.0
27,73.0
2,51.0
20,62.0
58,96.0
90,93.0
26,58.0
46,84.0
60,92.0
69,98.0
75,99.0
88,85.0
21,114.0
41,27.0
34,4.0
46,163.0
10,78.0
19,34.0
86,19.0
11,3.0
32,5.0
46,214.0
59,25.0
90,2.0
26,100.0
97,9.0
8,93.0
74,29.0
31,8.0
8,13.0
57,83.0
28,343.0
32,42.0
80,105.0
17,92.0
38,3.0
26,29.0
20,12.0
74,28.0
47,9.0
19,157.0
30,86.0
11,151.0
47,119.0
46,67.0
21,90.0
34,145.0
75,86.0
38,90.0
92,6.0
21,66.0
28,88.0
17,239.0
11,24.0
88,53.0
80,82.0
92,14.0
78,13.0
46,122.0
4,27.0
86,94.0
64,74.0
5,32.0
91,24.0
64,12.0
67,66.0
91,96.0
2,21.0
78,94.0
92,105.0
82,5.0
30,28.0
75,35.0
59,99.0
92,96.0
1,30.0
46,24.0
29,62.0
37,118.0
10,14.0
96,88.0
59,39.0
28,268.0
17,88.0
91,26.0
10,6.0
69,12.0
64,19.0
76,25.0
57,7.0
63,4.0
46,3.0
32,66.0
17,152.0
10,109.0
7,38.0
96,40.0
27,4.0
97,17.0
42,4.0
7,176.0
78,237.0
38,37.0
37,6.0
38,197.0
34,93.0
76,2.0
19,75.0
1,40.0
8,220.0
7,53.0
52,49.0
52,91.0
28,43.0
29,17.0
37,66.0
4,41.0
21,30.0
28,120.0
90,94.0
,36602.5
